,date,platform,post_type,likes,shares,comments,views,engagment,quarter
24,2023-06-02,Twitter,text,1032.0,135.0,434.0,8452.0,1601.0,2
25,2023-01-11,Instagram,video,1233.0,307.0,254.0,4479.0,1794.0,1
26,2023-08-15,Instagram,video,545.0,158.0,388.0,6084.0,1091.0,3
27,2023-09-29,Facebook,image,1168.0,512.0,335.0,8673.0,2015.0,3
28,2023-01-13,Facebook,text,2129.0,122.0,151.0,7305.0,2402.0,1
29,2023-03-31,Instagram,video,2185.0,466.0,327.0,7601.0,2978.0,1
30,2023-03-30,Twitter,image,1729.0,762.0,467.0,6448.0,2958.0,1
31,2022-11-12,Twitter,text,677.0,177.0,211.0,9726.0,1065.0,4
32,2023-03-12,Instagram,image,816.0,356.0,471.0,5057.0,1643.0,1
33,2023-04-08,Twitter,video,1521.0,775.0,238.0,8046.0,2534.0,2
34,2023-10-03,Instagram,text,2132.0,271.0,265.0,4835.0,2668.0,4
35,2022-12-02,Facebook,video,2114.0,540.0,476.0,4921.0,3130.0,4
36,2023-07-10,Facebook,video,1289.7951807228915,895.0,341.0,5521.0,2525.7951807228915,3
37,2023-05-01,Facebook,video,1295.0,810.0,184.0,9081.0,2289.0,2
38,2023-08-21,Instagram,text,1780.0,432.0,319.0,6389.0,2531.0,3
39,2023-04-10,Facebook,image,1097.0,812.0,170.0,7979.0,2079.0,2
40,2023-02-18,Instagram,image,1717.0,213.0,237.0,7745.0,2167.0,1
41,2023-08-29,Twitter,video,1369.0,293.0,237.0,7795.0,1899.0,3
42,2022-12-18,Instagram,video,1778.0,204.0,447.0,9218.0,2429.0,4
43,2022-12-07,Twitter,video,1257.0,636.0,457.0,9449.0,2350.0,4
44,2023-05-16,Instagram,video,1349.0,336.0,391.0,5075.0,2076.0,2
45,2023-06-17,Instagram,text,504.0,210.0,279.0,5346.0,993.0,2
46,2022-10-31,Instagram,video,1065.0,863.0,388.0,8486.0,2316.0,4
47,2023-07-21,Facebook,text,1482.0,797.0,119.0,6665.0,2398.0,3
48,2022-11-05,Facebook,image,1182.0,733.0,389.0,4684.0,2304.0,4
49,2023-03-04,Instagram,video,1254.0,652.0,373.0,8320.0,2279.0,1
50,2023-01-08,Facebook,video,682.0,859.0,327.0,7050.0,1868.0,1
51,2022-12-05,Facebook,video,599.0,782.0,190.0,5729.0,1571.0,4
52,2023-09-06,Instagram,image,865.0,554.0,263.0,4506.0,1682.0,3
53,2023-03-12,Twitter,text,1458.0,528.0,369.0,7399.0,2355.0,1
54,2023-02-13,Instagram,video,1650.0,601.0,206.0,4784.0,2457.0,1
55,2023-07-22,Twitter,image,604.0,577.0,273.0,6304.0,1454.0,3
56,2023-09-17,Facebook,image,427.0,510.0,312.0,4739.0,1249.0,3
57,2023-08-31,Twitter,video,2129.0,395.0,258.0,4836.0,2782.0,3
58,2023-01-02,Facebook,image,645.0,458.0,278.0,7397.0,1381.0,1
59,2023-02-16,Instagram,text,640.0,559.0,305.84789156626505,7495.0,1504.847891566265,1
60,2023-03-26,Twitter,image,1682.0,708.0,161.0,4328.0,2551.0,1
61,2023-03-13,Facebook,image,2180.0,383.0,463.0,4367.0,3026.0,1
62,2022-12-18,Instagram,text,1950.0,652.0,381.0,4503.0,2983.0,4
63,2023-07-24,Twitter,text,1673.0,132.0,182.0,9886.0,1987.0,3
64,2023-01-12,Twitter,video,531.0,273.0,317.0,9390.0,1121.0,1
65,2023-02-27,Twitter,image,1943.0,376.0,234.0,8344.0,2553.0,1
66,2023-03-28,Twitter,image,867.0,345.0,332.0,5637.0,1544.0,1
67,2023-04-14,Twitter,video,1663.0,180.0,418.0,7151.0,2261.0,2
68,2023-06-08,Instagram,image,845.0,259.0,120.0,8510.0,1224.0,2
69,2022-11-28,Twitter,image,1486.0,461.0,254.0,4442.0,2201.0,4
70,2022-10-23,Instagram,video,2027.0,889.0,413.0,5947.0,3329.0,4
71,2023-06-17,Instagram,image,434.0,591.0,431.0,8802.0,1456.0,2
72,2023-07-20,Facebook,text,1763.0,190.0,348.0,9504.0,2301.0,3
73,2023-10-02,Twitter,image,457.0,544.0,408.0,8559.0,1409.0,4
74,2023-01-01,Twitter,video,1427.0,669.0,140.0,4111.0,2236.0,1
75,2022-10-17,Facebook,text,1227.0,641.0,320.0,8679.0,2188.0,4
76,2023-01-09,Twitter,image,648.0,759.0,300.0,9726.0,1707.0,1
77,2022-11-22,Facebook,text,1284.0,805.0,188.0,6708.0,2277.0,4
78,2023-09-11,Twitter,video,973.0,428.0,274.0,9811.0,1675.0,3
79,2022-12-07,Twitter,video,803.0,860.0,190.0,9791.0,1853.0,4
80,2022-12-17,Instagram,image,1964.0,497.2866465863454,500.0,4621.0,2961.2866465863453,4
81,2023-07-27,Instagram,video,1690.0,431.0,154.0,4965.0,2275.0,3
82,2022-11-24,Instagram,image,1200.0,675.0,325.0,4348.0,2200.0,4
83,2022-10-20,Instagram,text,1970.0,737.0,367.0,8536.0,3074.0,4
84,2023-03-12,Twitter,image,451.0,896.0,351.0,7548.0,1698.0,1
85,2023-10-05,Facebook,video,1987.0,744.0,158.0,7565.0,2889.0,4
86,2022-11-03,Facebook,video,896.0,206.0,384.0,6887.0,1486.0,4
87,2022-12-16,Instagram,text,1943.0,632.0,179.0,8109.0,2754.0,4
88,2023-10-05,Instagram,image,1237.0,670.0,320.0,6449.0,2227.0,4
89,2022-11-09,Facebook,video,918.0,252.0,157.0,6209.0,1327.0,4
90,2022-12-08,Instagram,image,851.0,161.0,426.0,4655.0,1438.0,4
91,2023-04-26,Instagram,video,1990.0,539.0,152.0,9731.0,2681.0,2
92,2023-05-12,Instagram,image,1555.0,690.0,442.0,4954.0,2687.0,2
93,2023-05-01,Facebook,image,2004.0,195.0,495.0,7140.0,2694.0,2
94,2023-02-15,Instagram,image,804.0,818.0,245.0,6600.0,1867.0,1
95,2023-05-28,Instagram,video,1822.0,325.0,426.0,4143.0,2573.0,2
96,2023-01-28,Twitter,text,811.0,344.0,331.0,4043.0,1486.0,1
97,2023-03-28,Twitter,text,1138.0,784.0,327.0,4026.0,2249.0,1
98,2022-10-30,Instagram,text,1694.0,523.0,310.0,8930.0,2527.0,4
99,2023-05-12,Twitter,text,1214.0,372.0,379.0,7173.0,1965.0,2
100,2023-01-22,Twitter,image,446.0,582.0,119.0,6292.0,1147.0,1
101,2023-05-12,Twitter,text,2199.0,845.0,224.0,8331.0,3268.0,2
102,2023-08-16,Twitter,image,1993.0,104.0,115.0,7656.0,2212.0,3
103,2023-09-03,Facebook,image,401.0,129.0,129.0,5146.0,659.0,3
104,2023-02-17,Twitter,text,1774.0,202.0,182.0,6604.0,2158.0,1
105,2023-07-21,Twitter,text,1075.0,232.0,253.0,6966.834673366834,1560.0,3
106,2023-01-02,Facebook,video,523.0,391.0,357.0,7180.0,1271.0,1
107,2022-11-26,Instagram,text,562.0,267.0,256.0,6301.0,1085.0,4
108,2022-11-22,Twitter,image,1685.0,539.0,160.0,6594.0,2384.0,4
109,2023-05-21,Instagram,text,846.0,772.0,368.0,6897.0,1986.0,2
110,2022-11-18,Twitter,text,805.0,602.0,137.0,6910.0,1544.0,4
111,2023-03-26,Facebook,video,1423.0,196.0,390.0,4112.0,2009.0,1
112,2023-03-18,Twitter,image,988.0,578.0,375.0,5306.0,1941.0,1
113,2023-04-15,Twitter,image,1479.0,126.0,499.0,7422.0,2104.0,2
114,2022-11-22,Instagram,image,1844.0,130.0,166.0,8228.0,2140.0,4
115,2023-10-05,Instagram,video,1438.0,530.0,231.0,4651.0,2199.0,4
116,2023-09-06,Facebook,text,857.0,497.2866465863454,376.0,8609.0,1730.2866465863453,3
117,2022-11-09,Instagram,video,2146.0,553.0,365.0,5307.0,3064.0,4
118,2023-04-13,Instagram,text,2000.0,142.0,192.0,9021.0,2334.0,2
119,2023-02-09,Twitter,image,1276.0,306.0,376.0,4399.0,1958.0,1
120,2022-12-13,Facebook,image,1713.0,468.0,425.0,5045.0,2606.0,4
121,2023-09-08,Instagram,image,1420.0,301.0,101.0,4696.0,1822.0,3
122,2023-06-22,Instagram,video,948.0,575.0,224.0,5653.0,1747.0,2
123,2023-06-23,Instagram,video,2181.0,450.0,124.0,5595.0,2755.0,2
124,2022-12-02,Twitter,image,934.0,501.0,254.0,8947.0,1689.0,4
125,2023-06-05,Instagram,video,1745.0,621.0,263.0,9931.0,2629.0,2
126,2023-09-07,Twitter,video,978.0,626.0,225.0,8076.0,1829.0,3
127,2022-10-27,Facebook,image,1186.0,829.0,135.0,8335.0,2150.0,4
128,2023-02-16,Twitter,text,1148.0,186.0,366.0,4182.0,1700.0,1
129,2023-03-26,Twitter,text,522.0,805.0,288.0,7107.0,1615.0,1
130,2023-09-17,Instagram,text,2105.0,557.0,139.0,8293.0,2801.0,3
131,2023-09-24,Twitter,image,771.0,740.0,372.0,8329.0,1883.0,3
132,2022-12-06,Instagram,image,403.0,866.0,412.0,9538.0,1681.0,4
133,2023-02-22,Instagram,video,709.0,323.0,286.0,5098.0,1318.0,1
134,2023-04-06,Instagram,image,1011.0,374.0,290.0,7425.0,1675.0,2
135,2023-08-08,Instagram,video,762.0,603.0,109.0,7443.0,1474.0,3
136,2023-08-11,Twitter,text,504.0,325.0,474.0,7354.0,1303.0,3
137,2023-07-21,Facebook,video,1247.0,585.0,467.0,5158.0,2299.0,3
138,2023-06-22,Instagram,video,931.0,593.0,442.0,8109.0,1966.0,2
139,2022-11-11,Facebook,text,1059.0,676.0,157.0,9136.0,1892.0,4
140,2023-09-16,Facebook,text,1767.0,199.0,241.0,6767.0,2207.0,3
141,2023-05-11,Instagram,image,1763.0,855.0,263.0,9253.0,2881.0,2
142,2023-05-16,Twitter,image,1126.0,203.0,480.0,7922.0,1809.0,2
143,2023-04-09,Twitter,text,1840.0,642.0,267.0,5051.0,2749.0,2
144,2023-09-23,Facebook,video,2041.0,142.0,214.0,6466.0,2397.0,3
145,2023-03-30,Instagram,image,1118.0,735.0,301.0,4951.0,2154.0,1
146,2023-02-19,Facebook,video,2193.0,429.0,265.0,4487.0,2887.0,1
147,2023-05-12,Facebook,video,2066.0,466.0,430.0,5998.0,2962.0,2
148,2022-11-02,Facebook,image,1888.0,803.0,247.0,7962.0,2938.0,4
149,2023-02-16,Facebook,video,1528.0,443.0,305.84789156626505,9042.0,2276.847891566265,1
150,2022-10-16,Instagram,video,708.0,774.0,417.0,8055.0,1899.0,4
151,2023-08-04,Twitter,text,1157.0,689.0,403.0,5443.0,2249.0,3
152,2023-08-23,Twitter,image,1099.0,827.0,264.0,7677.0,2190.0,3
153,2023-10-12,Instagram,text,1753.0,197.0,391.0,6430.0,2341.0,4
154,2023-07-25,Instagram,video,1353.0,867.0,205.0,5421.0,2425.0,3
155,2023-03-27,Facebook,text,504.0,641.0,429.0,4759.0,1574.0,1
156,2023-03-09,Instagram,image,1403.0,418.0,457.0,5580.0,2278.0,1
157,2023-02-24,Instagram,video,1688.0,732.0,499.0,9217.0,2919.0,1
158,2023-09-09,Facebook,video,858.0,791.0,437.0,4369.0,2086.0,3
159,2023-03-21,Instagram,video,1022.0,473.0,349.0,7241.0,1844.0,1
160,2022-10-16,Facebook,video,578.0,228.0,296.0,8656.0,1102.0,4
161,2023-05-22,Twitter,text,757.0,305.0,370.0,4760.0,1432.0,2
162,2023-07-11,Facebook,image,549.0,882.0,194.0,6573.0,1625.0,3
163,2023-01-22,Instagram,image,1006.0,415.0,428.0,6258.0,1849.0,1
164,2023-01-06,Facebook,image,1904.0,481.0,475.0,7543.0,2860.0,1
165,2023-05-07,Twitter,image,1450.0,879.0,267.0,4801.0,2596.0,2
166,2022-11-12,Twitter,video,600.0,617.0,473.0,4243.0,1690.0,4
167,2023-09-22,Facebook,image,1254.0,292.0,300.0,7117.0,1846.0,3
168,2022-12-23,Twitter,video,1725.0,686.0,194.0,5801.0,2605.0,4
169,2023-10-04,Instagram,image,1063.0,507.0,279.0,9742.0,1849.0,4
170,2023-09-15,Facebook,image,1690.0,116.0,159.0,5027.0,1965.0,3
171,2022-11-09,Facebook,text,1782.0,653.0,395.0,8650.0,2830.0,4
172,2023-05-28,Twitter,text,1642.0,632.0,300.0,4685.0,2574.0,2
173,2023-06-25,Instagram,video,1786.0,798.0,177.0,5507.0,2761.0,2
174,2022-11-03,Instagram,text,1630.0,627.0,399.0,6347.0,2656.0,4
175,2022-10-17,Facebook,image,1832.0,686.0,438.0,5704.0,2956.0,4
176,2023-06-06,Instagram,text,1456.0,247.0,443.0,8417.0,2146.0,2
177,2023-10-02,Twitter,image,1058.0,856.0,494.0,8142.0,2408.0,4
178,2023-06-19,Facebook,image,1520.0,857.0,213.0,4886.0,2590.0,2
179,2023-07-04,Instagram,video,1027.0,244.0,124.0,9194.0,1395.0,3
180,2023-09-13,Facebook,video,2130.0,891.0,384.0,4459.0,3405.0,3
181,2023-09-12,Instagram,text,572.0,638.0,120.0,6807.0,1330.0,3
182,2023-08-12,Twitter,text,1289.7951807228915,208.0,136.0,6571.0,1633.7951807228915,3
183,2023-06-17,Facebook,image,1147.0,554.0,186.0,8072.0,1887.0,2
184,2022-12-28,Instagram,image,822.0,755.0,388.0,9761.0,1965.0,4
185,2023-06-16,Instagram,image,1022.0,498.0,200.0,5968.0,1720.0,2
186,2022-12-22,Twitter,text,2146.0,416.0,208.0,6590.0,2770.0,4
187,2023-01-16,Facebook,video,2194.0,591.0,118.0,9601.0,2903.0,1
188,2023-02-05,Instagram,video,2025.0,319.0,437.0,7982.0,2781.0,1
189,2023-07-12,Instagram,image,1875.0,623.0,142.0,8452.0,2640.0,3
190,2023-09-25,Twitter,image,1469.0,448.0,466.0,7924.0,2383.0,3
191,2022-12-23,Instagram,image,561.0,703.0,360.0,4874.0,1624.0,4
192,2023-05-02,Instagram,video,1027.0,544.0,489.0,8136.0,2060.0,2
193,2023-08-06,Facebook,video,1534.0,390.0,372.0,5419.0,2296.0,3
194,2023-06-26,Facebook,video,551.0,430.0,434.0,7162.0,1415.0,2
195,2023-03-27,Instagram,text,1182.0,513.0,392.0,4220.0,2087.0,1
196,2023-04-02,Instagram,text,1844.0,157.0,214.0,4974.0,2215.0,2
197,2022-11-15,Facebook,text,600.0,578.0,374.0,5558.0,1552.0,4
198,2022-11-14,Instagram,text,1118.0,734.0,367.0,8681.0,2219.0,4
199,2023-08-09,Twitter,video,648.0,146.0,168.0,5562.0,962.0,3
200,2023-03-01,Twitter,image,1059.0,896.0,234.0,8677.0,2189.0,1
201,2022-12-16,Twitter,text,473.0,884.0,432.0,7694.0,1789.0,4
202,2023-09-08,Instagram,text,1419.0,165.0,119.0,9729.0,1703.0,3
203,2023-06-15,Twitter,video,1199.0,687.0,122.0,9634.0,2008.0,2
204,2023-05-10,Instagram,image,913.0,564.0,480.0,4916.0,1957.0,2
205,2023-02-09,Facebook,image,700.0,685.0,160.0,6439.0,1545.0,1
206,2023-08-08,Twitter,text,1495.0,178.0,209.0,9049.0,1882.0,3
207,2022-12-21,Facebook,image,806.0,809.0,461.0,5091.0,2076.0,4
208,2022-12-26,Instagram,text,1520.0,801.0,269.0,9595.0,2590.0,4
209,2023-02-25,Instagram,video,400.0,565.0,353.0,9100.0,1318.0,1
210,2023-06-02,Twitter,text,867.0,532.0,416.0,4732.0,1815.0,2
211,2023-04-09,Twitter,image,1113.0,204.0,449.0,6760.0,1766.0,2
212,2023-03-15,Facebook,image,1935.0,634.0,359.0,5641.0,2928.0,1
213,2023-04-16,Facebook,text,2035.0,645.0,398.0,4287.0,3078.0,2
214,2023-01-29,Facebook,text,802.0,417.0,283.0,4389.0,1502.0,1
215,2023-03-17,Instagram,text,679.0,423.0,159.0,8481.0,1261.0,1
216,2023-07-31,Facebook,image,1195.0,832.0,393.0,9377.0,2420.0,3
217,2023-03-30,Twitter,image,1073.0,609.0,256.0,6746.0,1938.0,1
218,2023-07-08,Instagram,video,931.0,372.0,217.0,6686.0,1520.0,3
219,2023-06-01,Instagram,video,981.0,452.0,398.0,9571.0,1831.0,2
220,2023-04-30,Twitter,text,971.0,775.0,235.0,4158.0,1981.0,2
221,2023-06-24,Facebook,text,808.0,671.0,170.0,8350.0,1649.0,2
222,2023-06-23,Twitter,text,883.0,666.0,474.0,5774.0,2023.0,2
223,2023-10-09,Facebook,video,419.0,152.0,157.0,8600.0,728.0,4
224,2023-09-15,Facebook,video,1476.0,835.0,441.0,7841.0,2752.0,3
225,2023-05-02,Instagram,image,710.0,843.0,430.0,5983.0,1983.0,2
226,2023-01-30,Instagram,image,2180.0,819.0,210.0,9989.0,3209.0,1
227,2023-03-02,Twitter,video,2046.0,687.0,473.0,6985.0,3206.0,1
228,2023-02-13,Facebook,text,1814.0,327.0,476.0,7160.0,2617.0,1
229,2023-02-28,Instagram,video,1761.0,696.0,125.0,4556.0,2582.0,1
230,2023-09-25,Facebook,text,1826.0,156.0,291.0,9977.0,2273.0,3
231,2023-09-02,Facebook,text,1483.0,480.0,340.0,5492.0,2303.0,3
232,2023-09-28,Instagram,video,1492.0,430.0,441.0,7191.0,2363.0,3
233,2023-09-21,Instagram,image,1482.0,512.0,185.0,4073.0,2179.0,3
234,2023-04-06,Twitter,text,587.0,764.0,167.0,8190.0,1518.0,2
235,2022-11-07,Facebook,text,420.0,636.0,394.0,6543.0,1450.0,4
236,2023-05-11,Twitter,text,958.0,573.0,447.0,5072.0,1978.0,2
237,2022-11-28,Instagram,video,1932.0,691.0,425.0,4994.0,3048.0,4
238,2022-11-10,Twitter,image,1154.0,708.0,273.0,6227.0,2135.0,4
239,2023-07-10,Instagram,image,1937.0,847.0,137.0,7666.0,2921.0,3
240,2022-10-23,Facebook,video,1871.0,881.0,337.0,5642.0,3089.0,4
241,2023-01-07,Twitter,text,1775.0,251.0,118.0,5241.0,2144.0,1
242,2023-08-17,Facebook,text,1172.0,346.0,280.0,5752.0,1798.0,3
243,2023-01-27,Facebook,image,2099.0,360.0,466.0,4176.0,2925.0,1
244,2023-02-06,Instagram,image,1731.0,676.0,298.0,4570.0,2705.0,1
245,2023-01-05,Twitter,video,464.0,424.0,441.0,9441.0,1329.0,1
246,2022-11-07,Twitter,video,1936.0,282.0,336.0,4454.0,2554.0,4
247,2023-09-17,Facebook,image,1534.0,501.0,224.0,8041.0,2259.0,3
248,2023-10-12,Instagram,video,649.0,602.0,174.0,6168.0,1425.0,4
249,2023-06-21,Facebook,text,1417.0,350.0,410.0,7303.0,2177.0,2
250,2023-09-02,Twitter,text,1032.0,741.0,164.0,9191.0,1937.0,3
251,2022-12-23,Twitter,video,1528.0,614.0,351.0,4858.0,2493.0,4
252,2023-01-22,Facebook,video,1931.0,165.0,360.0,9627.0,2456.0,1
253,2023-04-20,Twitter,video,1689.0,427.0,200.0,4707.0,2316.0,2
254,2023-03-17,Facebook,image,528.0,373.0,245.0,5086.0,1146.0,1
255,2023-03-22,Facebook,video,528.0,716.0,323.0,5795.0,1567.0,1
256,2023-08-19,Twitter,image,1383.0,205.0,386.0,9326.0,1974.0,3
257,2023-01-02,Facebook,text,675.0,422.0,294.0,6561.0,1391.0,1
258,2023-01-02,Twitter,image,1077.0,120.0,447.0,7969.0,1644.0,1
259,2023-04-29,Facebook,text,2155.0,374.0,348.0,8396.0,2877.0,2
260,2022-12-23,Facebook,video,464.0,892.0,457.0,5526.0,1813.0,4
261,2022-11-07,Facebook,text,1167.0,594.0,225.0,9657.0,1986.0,4
262,2022-11-18,Twitter,image,696.0,545.0,497.0,4837.0,1738.0,4
263,2023-08-04,Facebook,image,1363.0,132.0,133.0,9382.0,1628.0,3
264,2022-12-26,Twitter,text,638.0,358.0,198.0,6623.0,1194.0,4
265,2023-04-03,Facebook,video,1704.0,340.0,114.0,5657.0,2158.0,2
266,2022-12-26,Facebook,video,438.0,441.0,198.0,6517.0,1077.0,4
267,2023-08-10,Facebook,video,491.0,323.0,298.0,6876.0,1112.0,3
268,2022-11-10,Instagram,text,1289.7951807228915,398.0,238.0,4783.0,1925.7951807228915,4
269,2023-03-04,Facebook,video,1543.0,833.0,427.0,8701.0,2803.0,1
270,2022-11-07,Twitter,text,1961.0,855.0,253.0,6871.0,3069.0,4
271,2022-12-03,Facebook,video,462.0,564.0,258.0,6522.0,1284.0,4
272,2023-09-09,Twitter,image,1592.0,665.0,349.0,8439.0,2606.0,3
273,2022-12-16,Facebook,image,1746.0,324.0,491.0,8531.0,2561.0,4
274,2023-01-29,Facebook,text,2005.0,631.0,227.0,8819.0,2863.0,1
275,2023-03-14,Instagram,text,655.0,111.0,407.0,8368.0,1173.0,1
276,2022-12-03,Facebook,text,1468.0,294.0,187.0,6256.0,1949.0,4
277,2023-06-24,Instagram,video,2074.0,222.0,455.0,6797.0,2751.0,2
278,2023-06-23,Twitter,text,1645.0,250.0,286.0,7318.0,2181.0,2
279,2023-09-15,Twitter,text,1026.0,675.0,275.0,7227.0,1976.0,3
280,2023-05-07,Instagram,image,2007.0,142.0,468.0,8421.0,2617.0,2
281,2023-06-07,Instagram,image,1609.0,239.0,164.0,4334.0,2012.0,2
282,2022-12-19,Instagram,image,1992.0,646.0,102.0,5646.0,2740.0,4
283,2023-07-06,Facebook,image,2032.0,348.0,366.0,5990.0,2746.0,3
284,2023-08-03,Facebook,image,1466.0,745.0,147.0,7062.0,2358.0,3
285,2023-08-24,Twitter,image,1274.0,773.0,375.0,7419.0,2422.0,3
286,2023-09-24,Twitter,video,1231.0,625.0,402.0,7279.0,2258.0,3
287,2023-01-24,Facebook,text,657.0,603.0,439.0,5912.0,1699.0,1
288,2022-12-17,Facebook,image,453.0,687.0,183.0,4714.0,1323.0,4
289,2023-01-13,Instagram,image,1291.0,183.0,279.0,8840.0,1753.0,1
290,2022-10-26,Instagram,image,773.0,403.0,205.0,6136.0,1381.0,4
291,2022-12-09,Twitter,image,570.0,837.0,374.0,8466.0,1781.0,4
292,2023-08-22,Facebook,text,1024.0,751.0,207.0,5288.0,1982.0,3
293,2023-06-13,Instagram,image,1611.0,529.0,147.0,6703.0,2287.0,2
294,2023-09-18,NonExistingPlatform,text,1311.0,290.0,408.0,7879.0,2009.0,3
295,2023-04-24,Facebook,video,980.0,394.0,185.0,6170.0,1559.0,2
296,2023-04-01,Facebook,text,475.0,122.0,444.0,8596.0,1041.0,2
297,2023-03-31,Twitter,image,1446.0,822.0,443.0,9788.0,2711.0,1
298,2023-07-21,Facebook,text,1425.0,594.0,242.0,7572.0,2261.0,3
299,2023-07-04,Instagram,text,1649.0,738.0,157.0,7490.0,2544.0,3
300,2023-07-16,Instagram,image,740.0,676.0,161.0,6175.0,1577.0,3
301,2023-09-29,Facebook,text,702.0,758.0,422.0,7065.0,1882.0,3
302,2023-09-06,NonExistingPlatform,text,596.0,729.0,340.0,7815.0,1665.0,3
303,2023-09-11,Facebook,image,621.0,438.0,301.0,9779.0,1360.0,3
304,2023-09-04,Facebook,video,471.0,631.0,159.0,8264.0,1261.0,3
305,2022-10-28,Twitter,image,788.0,298.0,494.0,9537.0,1580.0,4
306,2023-08-14,Twitter,image,1313.0,315.0,403.0,6671.0,2031.0,3
307,2023-02-14,Instagram,video,885.0,531.0,155.0,5648.0,1571.0,1
308,2023-09-22,Twitter,image,1198.0,550.0,371.0,5055.0,2119.0,3
309,2023-10-02,Instagram,video,1788.0,301.0,378.0,9701.0,2467.0,4
310,2023-08-14,Instagram,video,1737.0,172.0,287.0,4502.0,2196.0,3
311,2023-04-13,Instagram,video,578.0,539.0,246.0,6607.0,1363.0,2
312,2023-02-26,Twitter,video,1292.0,339.0,458.0,8315.0,2089.0,1
313,2023-02-22,Instagram,image,1444.0,335.0,133.0,5885.0,1912.0,1
314,2023-06-09,Twitter,text,877.0,372.0,422.0,8834.0,1671.0,2
315,2023-07-07,Twitter,text,2131.0,255.0,484.0,9325.0,2870.0,3
316,2023-02-27,Twitter,video,579.0,712.0,170.0,7355.0,1461.0,1
317,2023-01-18,Twitter,image,731.0,154.0,376.0,9520.0,1261.0,1
318,2023-03-03,Facebook,image,1720.0,655.0,232.0,5045.0,2607.0,1
319,2023-03-02,Facebook,image,1624.0,584.0,298.0,8780.0,2506.0,1
320,2023-02-05,Twitter,video,1363.0,334.0,153.0,7251.0,1850.0,1
321,2023-07-14,Twitter,video,926.0,431.0,284.0,6550.0,1641.0,3
322,2023-04-28,Facebook,text,593.0,257.0,283.0,5180.0,1133.0,2
323,2023-08-07,Instagram,image,866.0,724.0,296.0,4731.0,1886.0,3
324,2023-03-18,Facebook,image,1298.0,142.0,184.0,6737.0,1624.0,1
325,2023-09-19,Twitter,video,1978.0,396.0,199.0,5860.0,2573.0,3
326,2023-03-31,Facebook,image,2111.0,347.0,436.0,5989.0,2894.0,1
327,2023-02-08,Facebook,video,1954.0,542.0,418.0,5683.0,2914.0,1
328,2023-07-08,Instagram,text,758.0,386.0,470.0,9765.0,1614.0,3
329,2022-10-15,Instagram,video,2198.0,867.0,319.0,6823.0,3384.0,4
330,2023-09-18,Twitter,image,1121.0,765.0,449.0,6408.0,2335.0,3
331,2023-02-03,Facebook,video,677.0,381.0,239.0,5778.0,1297.0,1
332,2023-01-08,Twitter,image,1066.0,284.0,315.0,4843.0,1665.0,1
333,2022-12-15,Twitter,text,1785.0,644.0,225.0,9243.0,2654.0,4
334,2023-08-14,Facebook,video,796.0,538.0,468.0,4333.0,1802.0,3
335,2023-02-24,Facebook,text,1110.0,892.0,463.0,7633.0,2465.0,1
336,2023-01-10,Facebook,video,1573.0,841.0,337.0,9001.0,2751.0,1
337,2022-11-12,Instagram,image,1895.0,446.0,164.0,6831.0,2505.0,4
338,2023-09-19,Facebook,text,704.0,815.0,122.0,5814.0,1641.0,3
339,2023-01-04,Facebook,text,1399.0,758.0,412.0,8524.0,2569.0,1
340,2023-03-12,Instagram,video,460.0,501.0,305.84789156626505,4745.0,1266.847891566265,1
